skill_name,route_full,skill_md_exists,frontmatter_yaml_present,approx_size_kb,last_modification,layer,category,description
Laia Topic Management System,/home/laia/.hermes/skills/productivity/laia-topic-management/SKILL.md,yes,yes,6.5,2026-04-01T23:45:00+02:00,service,productivity,Sistema de gestión temática multi-sesión usando Google Tasks para retención contextual
linear,/home/laia/.hermes/skills/productivity/linear/SKILL.md,yes,yes,11.1,2026-03-31T23:53:28+02:00,backend,productivity,"Manage Linear issues, projects, and teams via the GraphQL API. Create, update, search, and organize issues. Uses API key auth (no OAuth needed). All operations via curl — no dependencies."
mail-imap-only-lock,/home/laia/.hermes/skills/productivity/mail-imap-only-lock/SKILL.md,yes,yes,1.4,2026-06-08T11:23:52+02:00,backend,productivity,Core A para correo: todo mail opera por IMAP/SMTP local (DreamHost).
mindcode-create-discussion,/home/laia/.hermes/skills/productivity/mindcode-create-discussion/SKILL.md,yes,yes,7.4,2026-04-22T20:04:52+02:00,frontend,productivity,|
mindcode-discussion-automation,/home/laia/.hermes/skills/productivity/mindcode-discussion-automation/SKILL.md,yes,yes,9.3,2026-04-22T20:05:14+02:00,service,productivity,|
nano-pdf,/home/laia/.hermes/skills/productivity/nano-pdf/SKILL.md,yes,yes,1.7,2026-05-05T15:53:00+02:00,frontend,productivity,"Edit PDFs with natural-language instructions using the nano-pdf CLI. Modify text, fix typos, update titles, and make content changes to specific pages without manual editing."
notion,/home/laia/.hermes/skills/productivity/notion/SKILL.md,yes,yes,8.1,2026-03-31T23:53:28+02:00,backend,productivity,"Notion API for creating and managing pages, databases, and blocks via curl. Search, create, update, and query Notion workspaces directly from the terminal."
nuba-full-production-run,/home/laia/.hermes/skills/productivity/nuba-full-production-run/SKILL.md,yes,yes,0.4,2026-05-22T19:27:00+02:00,backend,productivity,Runner productivo NUBA para tareas de monitoreo/administración.
nuba-generate-activation-code-plus,/home/laia/.hermes/skills/productivity/nuba-generate-activation-code-plus/SKILL.md,yes,yes,0.5,2026-05-22T19:27:12+02:00,backend,productivity,Genera código de activación PLUS en NUBA con flujo fijo (Activation Codes + botón + + SAVE).
nuba-login-check,/home/laia/.hermes/skills/productivity/nuba-login-check/SKILL.md,yes,yes,0.3,2026-05-22T19:26:59+02:00,backend,productivity,Check determinista de acceso a NUBA antes de tareas administrativas.
nuba-playwright-selector-audit,/home/laia/.hermes/skills/productivity/nuba-playwright-selector-audit/SKILL.md,yes,yes,3.8,2026-05-22T19:10:34+02:00,backend,productivity,"Verificar selectores reales y flujo operativo en NUBA con Playwright (login, administración, licencias/códigos), generando evidencia para automatización robusta."
ocpp-log-unpack-7d-analysis,/home/laia/.hermes/skills/productivity/ocpp-log-unpack-7d-analysis/SKILL.md,yes,yes,2.1,2026-05-04T22:22:10+02:00,backend,productivity,"Descomprimir logs OCPP descargados, analizar comportamiento de los últimos 7 días y entregar salida estructurada para informe agregado."
ocr-and-documents,/home/laia/.hermes/skills/productivity/ocr-and-documents/SKILL.md,yes,yes,11.4,2026-03-31T23:53:28+02:00,frontend,productivity,"Extract text from PDFs and scanned documents. Use web_extract for remote URLs, pymupdf for local text-based PDFs, marker-pdf for OCR/scanned docs. For DOCX use python-docx, for PPTX see the powerpoint skill."
ocr-fallback-tesseract-when-vision-fails,/home/laia/.hermes/skills/productivity/ocr-fallback-tesseract-when-vision-fails/SKILL.md,yes,yes,1.2,2026-05-13T11:28:10+02:00,backend,productivity,Fallback para extraer texto de capturas cuando vision_analyze/browser_vision fallan por modelo o credenciales.
onsite-mobile-pdf-form-design,/home/laia/.hermes/skills/productivity/onsite-mobile-pdf-form-design/SKILL.md,yes,yes,18.7,2026-05-27T00:12:44+02:00,frontend,productivity,"Diseñar formularios PDF A4 editables en móvil para técnicos onsite, priorizando selección touch-first, impresión y compatibilidad real de visores."
openvoice-tts-production,/home/laia/.hermes/skills/productivity/openvoice-tts-production/SKILL.md,yes,yes,11.1,2026-06-05T10:30:56+02:00,frontend,productivity,Integrate OpenVoice as the primary Hermes TTS engine with safe fallback and environment-aware setup.
pdf-overlay-hotfix,/home/laia/.hermes/skills/productivity/pdf-overlay-hotfix/SKILL.md,yes,yes,2.7,2026-05-04T11:58:13+02:00,frontend,productivity,Aplicar correcciones rápidas de diseño/texto sobre un PDF existente usando overlay vectorial (ReportLab + pypdf) cuando no hay fuente editable.
pim-json-prosody-planning,/home/laia/.hermes/skills/productivity/pim-json-prosody-planning/SKILL.md,yes,yes,5.5,2026-06-04T20:07:57+02:00,frontend,productivity,"Build and validate PIM-JSON prosody plans for human-sounding TTS/OpenVoice voice tuning, then map them into practical rendering hints and sample audio."
play-vs-web-benchmark,/home/laia/.hermes/skills/productivity/play-vs-web-benchmark/SKILL.md,yes,yes,3.0,2026-05-29T14:00:40+02:00,frontend,productivity,"Instalar y comparar Play (Playwright) vs Web (Webwright) en la misma instancia, con checklist de prerequisitos y benchmark reproducible."
powerpoint,/home/laia/.hermes/skills/productivity/powerpoint/SKILL.md,yes,yes,1015.7,2026-03-31T23:53:28+02:00,frontend,productivity,"Use this skill any time a .pptx file is involved in any way — as input, output, or both. This includes: creating slide decks, pitch decks, or presentations; reading, parsing, or extracting text from any .pptx file (even if the extracted content will be used elsewhere, like in an email or summary); editing, modifying, or updating existing presentations; combining or splitting slide files; working with templates, layouts, speaker notes, or comments. Trigger whenever the user mentions \""deck,\"" \""slides,\"" \""presentation,\"" or references a .pptx filename, regardless of what they plan to do with the content afterward. If a .pptx file needs to be opened, created, or touched, use this skill."
production-postrun-validator,/home/laia/.hermes/skills/productivity/production-postrun-validator/SKILL.md,yes,yes,1.0,2026-05-26T11:37:48+02:00,service,productivity,Validación rígida de salida JSON y evidencia después de ejecución productiva.
production-preflight-check,/home/laia/.hermes/skills/productivity/production-preflight-check/SKILL.md,yes,yes,1.3,2026-05-26T11:37:46+02:00,service,productivity,Preflight rígido antes de correr procesos productivos Webasto/CPMS/NUBA.
protocol-stack-run-all,/home/laia/.hermes/skills/productivity/protocol-stack-run-all/SKILL.md,yes,yes,0.5,2026-05-22T19:26:22+02:00,backend,productivity,Ejecuta secuencialmente el stack productivo Webasto + CPMS + NUBA usando runners Python.
supabase-charger-registry-ingestion,/home/laia/.hermes/skills/productivity/supabase-charger-registry-ingestion/SKILL.md,yes,yes,12.3,2026-06-09T18:30:23+02:00,backend,productivity,"Ingest building-by-building charger Excel inventories into a local Supabase/Postgres stack, normalizing variable spreadsheet layouts into stable location/charger tables with raw-row auditability."
tasker-telegram-wakeup-notifications,/home/laia/.hermes/skills/productivity/tasker-telegram-wakeup-notifications/SKILL.md,yes,yes,30.6,2026-05-03T23:52:23+02:00,backend,productivity,Reenvío event-driven de notificaciones del móvil (Gmail/WhatsApp/LinkedIn) a Telegram para despertar a Laia sin cron
telegram-consulting-plan-workflow,/home/laia/.hermes/skills/productivity/telegram-consulting-plan-workflow/SKILL.md,yes,yes,3.6,2026-06-03T20:06:38+02:00,frontend,productivity,"Flujo operativo para trabajar con Laia en modo consultoría por Telegram: primero planificación/documentación (sin ejecutar), luego ejecución por etapas solo cuando se indique."
telegram-group-chat-id-from-hermes-files,/home/laia/.hermes/skills/productivity/telegram-group-chat-id-from-hermes-files/SKILL.md,yes,yes,1.7,2026-04-22T16:15:23+02:00,service,productivity,Obtener rápido el chat_id de un grupo de Telegram usando archivos locales de Hermes (~/.hermes)
tts-transcript-qa,/home/laia/.hermes/skills/productivity/tts-transcript-qa/SKILL.md,yes,yes,3.0,2026-06-05T16:47:37+02:00,frontend,productivity,Transcript-first QA for generated voice artifacts. Use after TTS rendering to verify that the audio begins with the intended user-facing content and contains no internal/debug noise.
voice-orchestrator-architecture,/home/laia/.hermes/skills/productivity/voice-orchestrator-architecture/SKILL.md,yes,yes,22.9,2026-06-05T17:32:07+02:00,service,productivity,"Build and maintain a reusable voice orchestration pipeline with separate display_text and speech_text, validation, rendering, and emission layers, while keeping optional tool imports lazy and testable."
voice-orchestrator-rigid-production,/home/laia/.hermes/skills/productivity/voice-orchestrator-rigid-production/SKILL.md,yes,yes,26.9,2026-06-08T20:35:08+02:00,service,productivity,"Strict production voice-channel supervisor. Defines a non-creative contract for voice pipelines, with Python as the source of truth, deterministic step execution, and hard text fallback when audio delivery is not safe."
voice-orchestrator-stagewise-evaluation,/home/laia/.hermes/skills/productivity/voice-orchestrator-stagewise-evaluation/SKILL.md,yes,yes,5.1,2026-06-05T14:57:32+02:00,frontend,productivity,"Stage-by-stage workflow for iterating on Hermes voice/TTS orchestration with a fixed reference phrase, incremental validation, and deterministic Python checks."
web-tool-routing-play-web-scrap,/home/laia/.hermes/skills/productivity/web-tool-routing-play-web-scrap/SKILL.md,yes,yes,8.0,2026-05-29T15:58:39+02:00,service,productivity,"Estrategia operativa de enrutado para intervención web: Play (determinista), Web (autónomo), Scrap (extracción de datos). Selenium fuera de stack."
webasto-full-production-run,/home/laia/.hermes/skills/productivity/webasto-full-production-run/SKILL.md,yes,yes,1.3,2026-06-10T19:33:58+02:00,backend,productivity,Runner productivo de Webasto/Unite con input JSON contractual.
webasto-set-ocpp-endpoint,/home/laia/.hermes/skills/productivity/webasto-set-ocpp-endpoint/SKILL.md,yes,yes,1.4,2026-05-26T18:41:32+02:00,backend,productivity,Setea endpoint OCPP en Webasto/Unite por runner Python estricto.
webasto-unite-log-analysis-production-report,/home/laia/.hermes/skills/productivity/webasto-unite-log-analysis-production-report/SKILL.md,yes,yes,2.6,2026-05-26T17:53:01+02:00,backend,productivity,Protocolo rígido para análisis de logs Webasto/Unite con salida HTML/PDF ejecutiva centrada en Plaza+Edificio+Ticket.
webasto-unite-playwright-protocol-split,/home/laia/.hermes/skills/productivity/webasto-unite-playwright-protocol-split/SKILL.md,yes,yes,4.5,2026-05-22T19:25:30+02:00,backend,productivity,"Convertir demos guiadas (AnyDesk/audio) en protocolos Python+Playwright separados por dominio (WebUI cargador, CPMS, NUBA) para evitar arrastre de fallos."
webasto-unite-playwright-unified-pipeline,/home/laia/.hermes/skills/productivity/webasto-unite-playwright-unified-pipeline/SKILL.md,yes,yes,3.0,2026-06-10T18:46:35+02:00,backend,productivity,Convertir una demo guiada (AnyDesk/audio) en pipeline único Python+Playwright para Webasto/Unite + CPMS con contrato estricto.
webasto-verify-ocpp-persistence,/home/laia/.hermes/skills/productivity/webasto-verify-ocpp-persistence/SKILL.md,yes,yes,0.4,2026-05-22T19:26:40+02:00,backend,productivity,Verifica persistencia OCPP en Webasto reingresando a OCPP Settings.
wings-cpms-create-charger-and-get-ocpp,/home/laia/.hermes/skills/productivity/wings-cpms-create-charger-and-get-ocpp/SKILL.md,yes,yes,2.1,2026-05-22T18:20:02+02:00,backend,productivity,Crear cargador en WINGS CPMS desde UI web y obtener el OCPP endpoint oficial desde Configurations > Connection Settings.
xlsx-semantic-extraction,/home/laia/.hermes/skills/productivity/xlsx-semantic-extraction/SKILL.md,yes,yes,4.3,2026-06-09T15:45:52+02:00,backend,productivity,"Extract structured data from XLSX files with inconsistent layouts by reading OOXML directly when needed, detecting semantic headers, and preserving critical fields such as IPs, serials, and comments."
godmode,/home/laia/.hermes/skills/red-teaming/godmode/SKILL.md,yes,yes,116.5,2026-03-31T23:53:28+02:00,backend,red-teaming,"Jailbreak API-served LLMs using G0DM0D3 techniques — Parseltongue input obfuscation (33 techniques), GODMODE CLASSIC system prompt templates, ULTRAPLINIAN multi-model racing, encoding escalation, and Hermes-native prefill/system prompt integration. Use when a user wants to bypass safety filters, jailbreak a model, or red-team model robustness."
arxiv,/home/laia/.hermes/skills/research/arxiv/SKILL.md,yes,yes,14.1,2026-03-31T23:53:28+02:00,frontend,research,"Search and retrieve academic papers from arXiv using their free REST API. No API key needed. Search by keyword, author, category, or ID. Combine with web_extract or the ocr-and-documents skill to read full paper content."
blogwatcher,/home/laia/.hermes/skills/research/blogwatcher/SKILL.md,yes,yes,1.2,2026-03-31T23:53:28+02:00,backend,research,"Monitor blogs and RSS/Atom feeds for updates using the blogwatcher CLI. Add blogs, scan for new articles, and track what you've read."
dspy,/home/laia/.hermes/skills/mlops/research/dspy/SKILL.md,yes,yes,60.2,2026-03-31T23:53:28+02:00,frontend,research,"Build complex AI systems with declarative programming, optimize prompts automatically, create modular RAG systems and agents with DSPy - Stanford NLP's framework for systematic LM programming"
ml-paper-writing,/home/laia/.hermes/skills/research/ml-paper-writing/SKILL.md,yes,yes,1223.8,2026-03-31T23:53:28+02:00,frontend,research,"Write publication-ready ML/AI papers for NeurIPS, ICML, ICLR, ACL, AAAI, COLM. Use when drafting papers from research repos, structuring arguments, verifying citations, or preparing camera-ready submissions. Includes LaTeX templates, reviewer guidelines, and citation verification workflows."
polymarket,/home/laia/.hermes/skills/research/polymarket/SKILL.md,yes,yes,17.4,2026-03-31T23:53:28+02:00,backend,research,"Query Polymarket prediction market data — search markets, get prices, orderbooks, and price history. Read-only via public REST APIs, no API key needed."
openhue,/home/laia/.hermes/skills/smart-home/openhue/SKILL.md,yes,yes,2.7,2026-03-31T23:53:28+02:00,frontend,smart-home,"Control Philips Hue lights, rooms, and scenes via the OpenHue CLI. Turn lights on/off, adjust brightness, color, color temperature, and activate scenes."
linkedin-connections-adb-randomized-v1,/home/laia/.hermes/skills/social-media/linkedin-connections-adb-randomized-v1/SKILL.md,yes,yes,7.0,2026-05-12T11:25:46+02:00,service,social-media,Flujo operativo diario para enviar solicitudes de conexión en LinkedIn vía ADB con pausas aleatorias y verificación de estado.
linkedin-li-preset-v1,/home/laia/.hermes/skills/social-media/linkedin-li-preset-v1/SKILL.md,yes,yes,7.3,2026-05-08T18:02:26+02:00,service,social-media,Protocolo diario indexado para intervención y crecimiento en LinkedIn sin perder contexto
linkedin-message-standard-v1,/home/laia/.hermes/skills/social-media/linkedin-message-standard-v1/SKILL.md,yes,yes,5.7,2026-05-03T20:56:34+02:00,frontend,social-media,"Estandar de escritura e interaccion para LinkedIn + backend operativo para publicar, arrobar y responder sin re-descubrir pasos."
linkedin-posting-random-window-v1,/home/laia/.hermes/skills/social-media/linkedin-posting-random-window-v1/SKILL.md,yes,yes,10.9,2026-05-03T20:56:35+02:00,frontend,social-media,Micro-skill para programacion de publicaciones LinkedIn con ventana horaria + randomizacion anti-patron.
linkedin-trend-intensity-3w,/home/laia/.hermes/skills/social-media/linkedin-trend-intensity-3w/SKILL.md,yes,yes,7.7,2026-05-03T15:33:34+02:00,service,social-media,"Detecta intensidad de tendencia en 3 semanas para energia, electromovilidad, sostenibilidad y smart cities, y propone abordaje de contenido sin forzar."
xitter,/home/laia/.hermes/skills/social-media/xitter/SKILL.md,yes,yes,6.0,2026-03-31T23:53:28+02:00,frontend,social-media,"Interact with X/Twitter via the x-cli terminal client using official X API credentials. Use for posting, reading timelines, searching tweets, liking, retweeting, bookmarks, mentions, and user lookups."
code-review,/home/laia/.hermes/skills/software-development/code-review/SKILL.md,yes,yes,2.2,2026-03-31T23:53:28+02:00,frontend,software-development,Guidelines for performing thorough code reviews with security and quality focus
hermes-rearm-doctor-contract,/home/laia/.hermes/skills/software-development/hermes-rearm-doctor-contract/SKILL.md,yes,yes,6.9,2026-06-06T11:31:49+02:00,frontend,software-development,"Build a contract-first, read-only diagnostics script for Hermes model rearme workflows. Use when implementing phase-1 / pre-recovery inspectors that must emit JSON, avoid mutating state, and come with reproducible tests."
importlib-dataclass-safe-load,/home/laia/.hermes/skills/software-development/importlib-dataclass-safe-load/SKILL.md,yes,yes,1.4,2026-05-07T14:33:30+02:00,service,software-development,Cargar módulos Python con dataclasses vía importlib sin romper en entornos sandbox/exec dinámicos.
laia-mail-router-hardening,/home/laia/.hermes/skills/software-development/laia-mail-router-hardening/SKILL.md,yes,yes,3.7,2026-06-10T16:12:34+02:00,backend,software-development,"Reusable workflow for implementing and hardening a mail-router skill: strict domain authorization, approval gates, reply-all policy, CLI runner validation, and test-first iteration."
laia-mail-router-implementation,/home/laia/.hermes/skills/software-development/laia-mail-router-implementation/SKILL.md,yes,yes,3.1,2026-06-10T15:01:11+02:00,frontend,software-development,"Build and validate the Laia Mail Router stack in gridcode-protocol-hub, including policy, orchestration, protocol schemas, CLI runner, docs, tests, and git-ready outputs."
plan,/home/laia/.hermes/skills/software-development/plan/SKILL.md,yes,yes,2.0,2026-03-31T23:53:28+02:00,backend,software-development,"Plan mode for Hermes — inspect context, write a markdown plan into the active workspace's `.hermes/plans/` directory, and do not execute the work."
playwright-deterministic-template-bootstrap,/home/laia/.hermes/skills/software-development/playwright-deterministic-template-bootstrap/SKILL.md,yes,yes,4.4,2026-06-06T10:53:55+02:00,backend,software-development,"Bootstrap reproducible Playwright automation in this environment using a deterministic Python template with contractual JSON I/O, evidence capture, and normalized errors."
protocol-hub-bootstrap,/home/laia/.hermes/skills/software-development/protocol-hub-bootstrap/SKILL.md,yes,yes,5.5,2026-05-26T11:46:42+02:00,service,software-development,"Bootstrap a protocol-driven repository (microprotocol architecture) with deterministic Email v1 pipeline, schemas, tests, and safe Git publishing flow."
requesting-code-review,/home/laia/.hermes/skills/software-development/requesting-code-review/SKILL.md,yes,yes,6.0,2026-03-31T23:53:28+02:00,frontend,software-development,"Use when completing tasks, implementing major features, or before merging. Validates work meets requirements through systematic review process."
subagent-driven-development,/home/laia/.hermes/skills/software-development/subagent-driven-development/SKILL.md,yes,yes,9.6,2026-03-31T23:53:28+02:00,service,software-development,Use when executing implementation plans with independent tasks. Dispatches fresh delegate_task per task with two-stage review (spec compliance then code quality).
systematic-debugging,/home/laia/.hermes/skills/software-development/systematic-debugging/SKILL.md,yes,yes,10.3,2026-03-31T23:53:28+02:00,service,software-development,"Use when encountering any bug, test failure, or unexpected behavior. 4-phase root cause investigation — NO fixes without understanding the problem first."
test-driven-development,/home/laia/.hermes/skills/software-development/test-driven-development/SKILL.md,yes,yes,9.4,2026-03-31T23:53:28+02:00,service,software-development,"Use when implementing any feature or bugfix, before writing implementation code. Enforces RED-GREEN-REFACTOR cycle with test-first approach."
writing-plans,/home/laia/.hermes/skills/software-development/writing-plans/SKILL.md,yes,yes,7.1,2026-03-31T23:53:28+02:00,frontend,software-development,"Use when you have a spec or requirements for a multi-step task. Creates comprehensive implementation plans with bite-sized tasks, exact file paths, and complete code examples."
axolotl,/home/laia/.hermes/skills/mlops/training/axolotl/SKILL.md,yes,yes,305.3,2026-03-31T23:53:28+02:00,frontend,training,"Expert guidance for fine-tuning LLMs with Axolotl - YAML configs, 100+ models, LoRA/QLoRA, DPO/KTO/ORPO/GRPO, multimodal support"
fine-tuning-with-trl,/home/laia/.hermes/skills/mlops/training/trl-fine-tuning/SKILL.md,yes,yes,23.0,2026-03-31T23:53:28+02:00,service,training,"Fine-tune LLMs using reinforcement learning with TRL - SFT for instruction tuning, DPO for preference alignment, PPO/GRPO for reward optimization, and reward model training. Use when need RLHF, align model with preferences, or train from human feedback. Works with HuggingFace Transformers."
grpo-rl-training,/home/laia/.hermes/skills/mlops/training/grpo-rl-training/SKILL.md,yes,yes,26.2,2026-03-31T23:53:28+02:00,frontend,training,Expert guidance for GRPO/RL fine-tuning with TRL for reasoning and task-specific model training
peft-fine-tuning,/home/laia/.hermes/skills/mlops/training/peft/SKILL.md,yes,yes,34.3,2026-03-31T23:53:28+02:00,backend,training,"Parameter-efficient fine-tuning for LLMs using LoRA, QLoRA, and 25+ methods. Use when fine-tuning large models (7B-70B) with limited GPU memory, when you need to train <1% of parameters with minimal accuracy loss, or for multi-adapter serving. HuggingFace's official library integrated with transformers ecosystem."
pytorch-fsdp,/home/laia/.hermes/skills/mlops/training/pytorch-fsdp/SKILL.md,yes,yes,486.1,2026-03-31T23:53:28+02:00,frontend,training,"Expert guidance for Fully Sharded Data Parallel training with PyTorch FSDP - parameter sharding, mixed precision, CPU offloading, FSDP2"
unsloth,/home/laia/.hermes/skills/mlops/training/unsloth/SKILL.md,yes,yes,1860.6,2026-03-31T23:53:28+02:00,frontend,training,"Expert guidance for fast fine-tuning with Unsloth - 2-5x faster training, 50-80% less memory, LoRA/QLoRA optimization"
